resume_text,job_description,match_score,match_label
"Business Analyst with 2 years of experience in process analysis, documentation, Excel, SQL, stakeholder management. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a DevOps Engineer skilled in Git, CI/CD, AWS. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.14,Low
"DevOps Engineer with 8 years of experience using Git, Terraform, Linux, CI/CD, AWS. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Seeking a DevOps Engineer skilled in Linux, Kubernetes, AWS, CI/CD, Terraform, Docker. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.89,High
"Machine Learning Engineer with 5 years of experience working with Machine Learning, Python, TensorFlow, AWS. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Looking for a Cybersecurity Analyst with knowledge of vulnerability assessment, incident response, Linux, Python, security monitoring. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.52,medium
"DevOps Engineer with 3 years of experience using Git, Terraform, Kubernetes. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Looking for a Cybersecurity Analyst with knowledge of network security, incident response, SIEM, Linux. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management.",0.26,Low
"Machine Learning Engineer with 7 years of experience working with AWS, Python, Machine Learning, MLOps, TensorFlow, PyTorch, Docker. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Seeking a Machine Learning Engineer with strong experience in PyTorch, Machine Learning, AWS, Python, Docker, TensorFlow, MLOps. You will build, train, deploy, and maintain production machine learning systems.",0.87,High
"Business Analyst with 9 years of experience in Excel, stakeholder management, requirements gathering, process analysis. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a DevOps Engineer skilled in CI/CD, Terraform, Kubernetes, Linux, AWS. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.52,Medium
"Data Analyst with 3 years of experience using Power BI, Excel, Pandas, SQL, Python. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","Looking for a Data Scientist skilled in Python, NumPy, Machine Learning, scikit-learn, SQL. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights.",0.13,Low
"Machine Learning Engineer with 9 years of experience working with PyTorch, Docker, MLOps, AWS. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Looking for a Cybersecurity Analyst with knowledge of Linux, incident response, SIEM, Python. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.7,MEDIUM
"Frontend Developer with 9 years of experience creating responsive web applications using CSS, TypeScript, REST APIs, JavaScript. Focused on reusable components, performance, accessibility, and user experience.","Seeking a Business Analyst with experience in Excel, Power BI, SQL. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders.",0.18,LOW
"Backend Developer with 5 years of experience building server-side applications using REST APIs, SQL, Python, Git, Docker, Node.js, PostgreSQL. Designed APIs, optimized databases, and delivered reliable services.","Looking for a Backend Developer experienced in REST APIs, PostgreSQL, Git, SQL, Node.js, Docker, Python. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services.",0.86,high
"Java Developer with 7 years of experience developing enterprise applications using Spring Boot, Hibernate, Docker, Java, Git, SQL, REST APIs. Built backend services, integrated databases, and maintained reliable APIs.","Hiring a Java Developer with experience in Hibernate, Git, Spring Boot, REST APIs, Java, Docker. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.8,high
"Machine Learning Engineer with 9 years of experience working with MLOps, PyTorch, AWS, Python. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Seeking a Business Analyst with experience in documentation, Power BI, requirements gathering, Excel, stakeholder management. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.41,medium
"Python developer with 5 years of experience building backend applications using Docker, Django, PostgreSQL, REST APIs, Python, Git. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","We are hiring a Python Developer with experience in FastAPI, Python, Git, Django, REST APIs. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.88,HIGH
"Business Analyst with 2 years of experience in SQL, stakeholder management, Excel, documentation. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Hiring a UI/UX Designer skilled in design systems, Figma, user research, wireframing, responsive design. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.27,low
"Java Developer with 4 years of experience developing enterprise applications using REST APIs, Java, Hibernate, Spring Boot, Git, SQL, Docker. Built backend services, integrated databases, and maintained reliable APIs.","Hiring a Java Developer with experience in Docker, REST APIs, Java, Hibernate, Spring Boot, Git, SQL. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.56,High
"DevOps Engineer with 2 years of experience using Linux, CI/CD, Terraform, Git. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Looking for a Data Scientist skilled in scikit-learn, Python, SQL, Pandas, NumPy. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights.",0.22,LOW
"Frontend Developer with 8 years of experience creating responsive web applications using HTML, Git, JavaScript. Focused on reusable components, performance, accessibility, and user experience.","Seeking a Machine Learning Engineer with strong experience in Docker, TensorFlow, Python, AWS, Machine Learning. You will build, train, deploy, and maintain production machine learning systems.",0.11,LOW
"Python developer with 6 years of experience building backend applications using Git, PostgreSQL, Django, Python, Docker, FastAPI. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","We are hiring a Python Developer with experience in FastAPI, Git, REST APIs, Docker, Django, PostgreSQL, Python. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.95,High
"DevOps Engineer with 2 years of experience using Kubernetes, Linux, Git, Docker, Terraform. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Seeking a DevOps Engineer skilled in Kubernetes, CI/CD, Docker, Terraform, AWS. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.87,high
"Cloud Engineer with 4 years of experience using Linux, AWS, Docker, Terraform, networking, Kubernetes. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Seeking a Cloud Engineer experienced in Docker, cloud architecture, Linux, Terraform, AWS, networking, Kubernetes. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.95,HIGH
"Frontend Developer with 5 years of experience creating responsive web applications using HTML, Git, CSS. Focused on reusable components, performance, accessibility, and user experience.","Seeking a Business Analyst with experience in requirements gathering, process analysis, documentation, Power BI, stakeholder management. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders.",0.24,LOW
"Java Developer with 4 years of experience developing enterprise applications using Git, SQL, Java, REST APIs, Hibernate, Spring Boot, Docker. Built backend services, integrated databases, and maintained reliable APIs.","Hiring a Java Developer with experience in SQL, Hibernate, Spring Boot, Java, REST APIs, Git. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.77,high
"Cloud Engineer with 4 years of experience using cloud architecture, networking, AWS, Kubernetes, Docker, Terraform. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Seeking a Cloud Engineer experienced in Terraform, cloud architecture, Linux, Kubernetes, Docker, networking. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.84,HIGH
"Data Scientist with 9 years of experience using Python, SQL, Machine Learning, data visualization. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","We are hiring a Data Analyst with experience in Excel, Pandas, Tableau, Power BI, Python. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.46,Medium
"DevOps Engineer with 5 years of experience using CI/CD, AWS, Kubernetes, Git, Linux, Terraform, Docker. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Seeking a DevOps Engineer skilled in Git, Docker, Kubernetes, CI/CD, Terraform, AWS. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.91,HIGH
"Java Developer with 4 years of experience developing enterprise applications using Git, Hibernate, Java, REST APIs. Built backend services, integrated databases, and maintained reliable APIs.","Seeking a Machine Learning Engineer with strong experience in AWS, Machine Learning, TensorFlow, Python. You will build, train, deploy, and maintain production machine learning systems.",0.13,LOW
"UI/UX Designer with 9 years of experience in prototyping, design systems, Figma, usability testing, wireframing. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Seeking a Business Analyst with experience in Excel, process analysis, documentation. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.63,Medium
"Data Analyst with 3 years of experience using Python, data visualization, Pandas, Excel. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","Hiring a UI/UX Designer skilled in prototyping, usability testing, user research, wireframing, Figma. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.44,medium
"Java Developer with 8 years of experience developing enterprise applications using REST APIs, Docker, Hibernate. Built backend services, integrated databases, and maintained reliable APIs.","Seeking a Machine Learning Engineer with strong experience in Python, AWS, TensorFlow. You will build, train, deploy, and maintain production machine learning systems.",0.33,Low
"DevOps Engineer with 5 years of experience using Terraform, Linux, Kubernetes, CI/CD, AWS. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Seeking a DevOps Engineer skilled in Docker, Git, Terraform, AWS, CI/CD, Linux, Kubernetes. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.9,High
"Frontend Developer with 3 years of experience creating responsive web applications using Git, CSS, React, TypeScript, REST APIs. Focused on reusable components, performance, accessibility, and user experience.","Hiring a Java Developer with experience in REST APIs, Hibernate, Git. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.51,MEDIUM
"DevOps Engineer with 2 years of experience using Kubernetes, Terraform, Linux, Git. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Seeking a Machine Learning Engineer with strong experience in MLOps, TensorFlow, Machine Learning, PyTorch. You will build, train, deploy, and maintain production machine learning systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.46,MEDIUM
"Data Analyst with 3 years of experience using Pandas, SQL, Excel, Power BI. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","Hiring a Java Developer with experience in REST APIs, Git, Hibernate, SQL, Java. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.58,medium
"UI/UX Designer with 4 years of experience in Figma, prototyping, usability testing, user research, responsive design, design systems. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Hiring a UI/UX Designer skilled in responsive design, design systems, prototyping, usability testing, Figma. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.8,High
"Java Developer with 4 years of experience developing enterprise applications using Docker, SQL, Java, Spring Boot, Git, Hibernate. Built backend services, integrated databases, and maintained reliable APIs.","Hiring a Java Developer with experience in SQL, Java, Docker, Hibernate, Git. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.83,high
"Cybersecurity Analyst with 9 years of experience in Linux, SIEM, Python, incident response, network security. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Hiring a UI/UX Designer skilled in responsive design, usability testing, Figma, wireframing. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.09,Low
"Data Analyst with 6 years of experience using data visualization, Python, Power BI, SQL, Excel, Pandas, Tableau. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","We are hiring a Data Analyst with experience in Pandas, SQL, Tableau, Python, Excel, Power BI. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights.",0.88,high
"Backend Developer with 7 years of experience building server-side applications using Git, Python, Node.js, SQL. Designed APIs, optimized databases, and delivered reliable services.","We are hiring a Data Analyst with experience in Power BI, data visualization, Tableau, Pandas. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights.",0.26,Low
"UI/UX Designer with 9 years of experience in prototyping, user research, usability testing. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Looking for a Backend Developer experienced in PostgreSQL, Docker, Git, Node.js, SQL. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.7,Medium
"Data Analyst with 3 years of experience using Excel, Tableau, Python. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","We are hiring a Python Developer with experience in REST APIs, PostgreSQL, Python, Django. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.6,Medium
"Cloud Engineer with 2 years of experience using Terraform, cloud architecture, AWS, Kubernetes, networking, Linux. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Seeking a Cloud Engineer experienced in Terraform, networking, Linux, Docker, cloud architecture, Kubernetes, AWS. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.93,HIGH
"Backend Developer with 3 years of experience building server-side applications using PostgreSQL, Python, Node.js, Git, REST APIs. Designed APIs, optimized databases, and delivered reliable services.","Seeking a DevOps Engineer skilled in CI/CD, Kubernetes, Linux, AWS, Terraform. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.68,MEDIUM
"Java Developer with 7 years of experience developing enterprise applications using Docker, REST APIs, SQL, Hibernate. Built backend services, integrated databases, and maintained reliable APIs.","We are hiring a Python Developer with experience in FastAPI, REST APIs, PostgreSQL, Django. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.49,MEDIUM
"Cybersecurity Analyst with 7 years of experience in Linux, Python, vulnerability assessment, SIEM, security monitoring. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Seeking a Business Analyst with experience in Excel, documentation, Power BI, SQL. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders.",0.09,LOW
"Business Analyst with 7 years of experience in Power BI, process analysis, SQL, Excel, stakeholder management. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a Cloud Engineer experienced in networking, cloud architecture, Linux, Kubernetes. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.06,low
"DevOps Engineer with 5 years of experience using Terraform, Git, Linux, Kubernetes. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Looking for a Data Scientist skilled in Python, Pandas, scikit-learn. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.5,MEDIUM
"Cybersecurity Analyst with 8 years of experience in vulnerability assessment, Python, security monitoring, SIEM. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Seeking a Cloud Engineer experienced in cloud architecture, Linux, AWS. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.34,low
"Frontend Developer with 5 years of experience creating responsive web applications using Git, REST APIs, HTML, React. Focused on reusable components, performance, accessibility, and user experience.","Looking for a Backend Developer experienced in Node.js, REST APIs, SQL, Git, Docker. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services.",0.07,low
"Cloud Engineer with 8 years of experience using cloud architecture, Terraform, Docker, AWS, networking. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","We need a Frontend Developer experienced with CSS, Git, HTML, JavaScript. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers.",0.05,Low
"Cloud Engineer with 2 years of experience using Terraform, Linux, AWS, Kubernetes. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Seeking a Machine Learning Engineer with strong experience in Machine Learning, Docker, PyTorch, MLOps, TensorFlow. You will build, train, deploy, and maintain production machine learning systems.",0.29,low
"UI/UX Designer with 4 years of experience in Figma, responsive design, wireframing, usability testing. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","We are hiring a Python Developer with experience in REST APIs, FastAPI, PostgreSQL. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.21,LOW
"DevOps Engineer with 8 years of experience using CI/CD, Kubernetes, Docker, AWS, Terraform, Git, Linux. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Seeking a DevOps Engineer skilled in Linux, Kubernetes, CI/CD, AWS, Docker, Git. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.85,high
"Cybersecurity Analyst with 9 years of experience in Linux, security monitoring, Python, network security. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Hiring a Java Developer with experience in Hibernate, SQL, Spring Boot. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.24,LOW
"Data Analyst with 8 years of experience using Power BI, SQL, Python, Tableau. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","Looking for a Backend Developer experienced in Git, Node.js, REST APIs. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.45,MEDIUM
"Frontend Developer with 5 years of experience creating responsive web applications using JavaScript, Git, HTML, REST APIs, TypeScript. Focused on reusable components, performance, accessibility, and user experience.","We need a Frontend Developer experienced with HTML, TypeScript, CSS, REST APIs, JavaScript. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers.",0.85,High
"Cloud Engineer with 7 years of experience using cloud architecture, Kubernetes, AWS. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Hiring a UI/UX Designer skilled in user research, wireframing, usability testing, Figma. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.42,Medium
"Cloud Engineer with 9 years of experience using Docker, cloud architecture, AWS. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","We are hiring a Data Analyst with experience in Excel, Tableau, Pandas, Python. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.62,medium
"Business Analyst with 5 years of experience in SQL, stakeholder management, Power BI, process analysis. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a DevOps Engineer skilled in Kubernetes, Linux, CI/CD, Terraform, AWS. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.69,Medium
"Java Developer with 7 years of experience developing enterprise applications using Docker, Java, SQL, Git, REST APIs, Hibernate, Spring Boot. Built backend services, integrated databases, and maintained reliable APIs.","Hiring a Java Developer with experience in Hibernate, Java, SQL, Git, Spring Boot, REST APIs, Docker. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.82,HIGH
"Java Developer with 7 years of experience developing enterprise applications using Spring Boot, SQL, REST APIs. Built backend services, integrated databases, and maintained reliable APIs.","Seeking a Machine Learning Engineer with strong experience in Machine Learning, Docker, TensorFlow. You will build, train, deploy, and maintain production machine learning systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.48,Medium
"Frontend Developer with 5 years of experience creating responsive web applications using TypeScript, JavaScript, Git, CSS, REST APIs. Focused on reusable components, performance, accessibility, and user experience.","We need a Frontend Developer experienced with REST APIs, React, Git, CSS, HTML, JavaScript, TypeScript. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers.",0.86,HIGH
"Java Developer with 2 years of experience developing enterprise applications using Java, SQL, Git, REST APIs, Docker. Built backend services, integrated databases, and maintained reliable APIs.","Looking for a Data Scientist skilled in NumPy, data visualization, Pandas, SQL. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights.",0.08,Low
"Python developer with 8 years of experience building backend applications using Docker, PostgreSQL, REST APIs, FastAPI. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","Looking for a Cybersecurity Analyst with knowledge of security monitoring, vulnerability assessment, SIEM. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.49,medium
"Cybersecurity Analyst with 9 years of experience in Linux, incident response, security monitoring, network security, vulnerability assessment, Python, SIEM. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Looking for a Cybersecurity Analyst with knowledge of incident response, network security, security monitoring, Python, vulnerability assessment, SIEM, Linux. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management.",0.94,HIGH
"UI/UX Designer with 5 years of experience in Figma, design systems, responsive design. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Looking for a Cybersecurity Analyst with knowledge of network security, Python, incident response. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.53,Medium
"Business Analyst with 3 years of experience in stakeholder management, process analysis, SQL, documentation, requirements gathering, Power BI, Excel. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a Business Analyst with experience in process analysis, documentation, stakeholder management, SQL, Excel, Power BI. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders.",0.92,high
"Data Scientist with 6 years of experience using Pandas, SQL, data visualization. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","We need a Frontend Developer experienced with Git, JavaScript, REST APIs, TypeScript. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers.",0.05,low
Short resume text,Short job description,0.6,Medium
"Backend Developer with 8 years of experience building server-side applications using Git, Docker, REST APIs, Python, PostgreSQL, SQL. Designed APIs, optimized databases, and delivered reliable services.","Looking for a Backend Developer experienced in Python, PostgreSQL, Docker, REST APIs, SQL, Git. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services.",0.88,HIGH
"Business Analyst with 6 years of experience in SQL, stakeholder management, process analysis, documentation, Excel. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","We are hiring a Python Developer with experience in FastAPI, Git, Python, Django. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.2,low
"Business Analyst with 8 years of experience in requirements gathering, Power BI, SQL, stakeholder management, Excel. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Hiring a UI/UX Designer skilled in design systems, Figma, usability testing, responsive design, wireframing. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.31,Low
"Python developer with 8 years of experience building backend applications using FastAPI, Django, REST APIs, Docker, Git, PostgreSQL. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","We are hiring a Python Developer with experience in Docker, REST APIs, FastAPI, Python, Django, Git. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.9,high
"Python developer with 5 years of experience building backend applications using Django, PostgreSQL, Docker, Python, FastAPI, REST APIs. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","We are hiring a Python Developer with experience in Django, Docker, FastAPI, Git, PostgreSQL, Python, REST APIs. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.92,high
"DevOps Engineer with 6 years of experience using AWS, CI/CD, Kubernetes, Linux, Terraform. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Seeking a DevOps Engineer skilled in CI/CD, Kubernetes, Linux, AWS, Docker, Git, Terraform. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.78,High
"UI/UX Designer with 3 years of experience in wireframing, design systems, usability testing. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Looking for a Backend Developer experienced in SQL, Node.js, REST APIs. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.49,medium
"DevOps Engineer with 3 years of experience using CI/CD, Terraform, Docker, Git, AWS. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Hiring a UI/UX Designer skilled in usability testing, responsive design, user research, wireframing, prototyping. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.32,LOW
Python developer experienced in Django and FastAPI.,,0.88,High
"Business Analyst with 3 years of experience in Power BI, Excel, SQL. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","We need a Frontend Developer experienced with Git, TypeScript, HTML, JavaScript. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.59,Medium
"Data Analyst with 8 years of experience using Power BI, data visualization, Pandas. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","Seeking a Machine Learning Engineer with strong experience in MLOps, Machine Learning, AWS, Docker. You will build, train, deploy, and maintain production machine learning systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.55,medium
"Cybersecurity Analyst with 5 years of experience in incident response, vulnerability assessment, network security. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Seeking a DevOps Engineer skilled in AWS, Git, Terraform. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.27,Low
"Data Scientist with 9 years of experience using Python, Machine Learning, scikit-learn. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","We are hiring a Python Developer with experience in PostgreSQL, Git, REST APIs. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.05,LOW
"Data Scientist with 3 years of experience using NumPy, data visualization, scikit-learn, Pandas. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","We need a Frontend Developer experienced with REST APIs, TypeScript, Git. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.45,medium
"Python developer with 8 years of experience building backend applications using Django, FastAPI, Docker, REST APIs, Git. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","Hiring a UI/UX Designer skilled in prototyping, Figma, design systems, responsive design. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.09,LOW
"Data Analyst with 8 years of experience using Power BI, Pandas, Excel. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","We are hiring a Python Developer with experience in PostgreSQL, FastAPI, Python. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.42,Medium
"Business Analyst with 8 years of experience in Power BI, stakeholder management, SQL, documentation, process analysis. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a Machine Learning Engineer with strong experience in Machine Learning, MLOps, Docker. You will build, train, deploy, and maintain production machine learning systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.61,MEDIUM
"Python developer with 7 years of experience building backend applications using Git, Docker, REST APIs, Django, PostgreSQL, Python. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","We are hiring a Python Developer with experience in PostgreSQL, Python, REST APIs, Git, Docker, Django, FastAPI. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.92,high
